states_msa_code,states_msa,states_msa_full,geoid_msa,name_msa,cases,deaths,interval_start
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0,2020-02-22
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-02-22
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0,2020-02-22
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0,2020-02-22
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-02-22
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0,2020-02-22
18,IN,IN,31500,Madison,0,0,2020-02-22
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0,2020-02-22
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0,2020-02-22
48,TX,TX,41700,San Antonio-New Braunfels,0,0,2020-02-22
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0,2020-02-22
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0,2020-02-23
6,CA,CA,46700,Vallejo-Fairfield,1,0,2020-02-23
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-02-23
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0,2020-02-23
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0,2020-02-23
6,CA,CA,41860,San Francisco-Oakland-Hayward,1,0,2020-02-23
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0,2020-02-23
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-02-23
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0,2020-02-23
18,IN,IN,31500,Madison,0,0,2020-02-23
19,IA,IA-NE,36540,Omaha-Council Bluffs,1,0,2020-02-23
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0,2020-02-23
48,TX,TX,41700,San Antonio-New Braunfels,6,0,2020-02-23
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0,2020-02-23
53,WA,WA,44060,Spokane-Spokane Valley,4,0,2020-02-23
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0,2020-02-24
6,CA,CA,46700,Vallejo-Fairfield,1,0,2020-02-24
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0,2020-02-24
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-02-24
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0,2020-02-24
6,CA,CA,41860,San Francisco-Oakland-Hayward,1,0,2020-02-24
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0,2020-02-24
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-02-24
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0,2020-02-24
18,IN,IN,31500,Madison,0,0,2020-02-24
19,IA,IA-NE,36540,Omaha-Council Bluffs,2,0,2020-02-24
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0,2020-02-24
48,TX,TX,41700,San Antonio-New Braunfels,6,0,2020-02-24
49,UT,UT,41620,Salt Lake City,1,0,2020-02-24
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0,2020-02-24
53,WA,WA,44060,Spokane-Spokane Valley,4,0,2020-02-24
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0,2020-02-25
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-02-25
6,CA,CA,34900,Napa,1,0,2020-02-25
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,2,0,2020-02-25
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0,2020-02-25
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-02-25
6,CA,CA,41860,San Francisco-Oakland-Hayward,1,0,2020-02-25
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0,2020-02-25
6,CA,CA,42220,Santa Rosa,1,0,2020-02-25
6,CA,CA,46700,Vallejo-Fairfield,10,0,2020-02-25
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0,2020-02-25
18,IN,IN,31500,Madison,0,0,2020-02-25
19,IA,IA-NE,36540,Omaha-Council Bluffs,1,0,2020-02-25
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0,2020-02-25
48,TX,TX,41700,San Antonio-New Braunfels,0,0,2020-02-25
49,UT,UT,41620,Salt Lake City,1,0,2020-02-25
53,WA,WA,44060,Spokane-Spokane Valley,0,0,2020-02-25
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0,2020-02-25
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0,2020-02-26
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-02-26
6,CA,CA,34900,Napa,1,0,2020-02-26
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,2,0,2020-02-26
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0,2020-02-26
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-02-26
6,CA,CA,41860,San Francisco-Oakland-Hayward,1,0,2020-02-26
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0,2020-02-26
6,CA,CA,42220,Santa Rosa,1,0,2020-02-26
6,CA,CA,46700,Vallejo-Fairfield,10,0,2020-02-26
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0,2020-02-26
18,IN,IN,31500,Madison,0,0,2020-02-26
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0,2020-02-26
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0,2020-02-26
48,TX,TX,41700,San Antonio-New Braunfels,0,0,2020-02-26
49,UT,UT,41620,Salt Lake City,0,0,2020-02-26
53,WA,WA,44060,Spokane-Spokane Valley,0,0,2020-02-26
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0,2020-02-26
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0,2020-02-27
6,CA,CA,46700,Vallejo-Fairfield,0,0,2020-02-27
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0,2020-02-27
6,CA,CA,34900,Napa,0,0,2020-02-27
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0,2020-02-27
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-02-27
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0,2020-02-27
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-02-27
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,1,0,2020-02-27
6,CA,CA,42220,Santa Rosa,0,0,2020-02-27
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0,2020-02-27
18,IN,IN,31500,Madison,0,0,2020-02-27
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0,2020-02-27
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0,2020-02-27
41,OR,OR-WA,38900,Portland-Vancouver-Hillsboro,1,0,2020-02-27
48,TX,TX,41700,San Antonio-New Braunfels,1,0,2020-02-27
49,UT,UT,41620,Salt Lake City,0,0,2020-02-27
53,WA,WA,44060,Spokane-Spokane Valley,0,0,2020-02-27
53,WA,WA,42660,Seattle-Tacoma-Bellevue,2,0,2020-02-27
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0,2020-02-28
6,CA,CA,46700,Vallejo-Fairfield,0,0,2020-02-28
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0,2020-02-28
6,CA,CA,34900,Napa,0,0,2020-02-28
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0,2020-02-28
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-02-28
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0,2020-02-28
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-02-28
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,2,0,2020-02-28
6,CA,CA,42220,Santa Rosa,0,0,2020-02-28
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,1,0,2020-02-28
18,IN,IN,31500,Madison,0,0,2020-02-28
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0,2020-02-28
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0,2020-02-28
41,OR,OR-WA,38900,Portland-Vancouver-Hillsboro,1,0,2020-02-28
48,TX,TX,41700,San Antonio-New Braunfels,1,0,2020-02-28
49,UT,UT,41620,Salt Lake City,0,0,2020-02-28
53,WA,WA,44060,Spokane-Spokane Valley,0,0,2020-02-28
53,WA,WA,42660,Seattle-Tacoma-Bellevue,5,1,2020-02-28
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0,2020-02-29
6,CA,CA,46700,Vallejo-Fairfield,1,0,2020-02-29
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0,2020-02-29
6,CA,CA,34900,Napa,0,0,2020-02-29
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0,2020-02-29
6,CA,CA,41860,San Francisco-Oakland-Hayward,1,0,2020-02-29
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-02-29
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,4,0,2020-02-29
6,CA,CA,42220,Santa Rosa,0,0,2020-02-29
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-02-29
12,FL,FL,45300,Tampa-St. Petersburg-Clearwater,1,0,2020-02-29
12,FL,FL,35840,North Port-Sarasota-Bradenton,1,0,2020-02-29
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,1,0,2020-02-29
18,IN,IN,31500,Madison,0,0,2020-02-29
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0,2020-02-29
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0,2020-02-29
41,OR,OR-WA,38900,Portland-Vancouver-Hillsboro,1,0,2020-02-29
48,TX,TX,41700,San Antonio-New Braunfels,0,0,2020-02-29
49,UT,UT,41620,Salt Lake City,0,0,2020-02-29
53,WA,WA,42660,Seattle-Tacoma-Bellevue,10,3,2020-02-29
53,WA,WA,44060,Spokane-Spokane Valley,0,0,2020-02-29
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0,2020-03-01
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,1,0,2020-03-01
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0,2020-03-01
6,CA,CA,42220,Santa Rosa,1,0,2020-03-01
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-03-01
6,CA,CA,46700,Vallejo-Fairfield,1,0,2020-03-01
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,5,0,2020-03-01
6,CA,CA,41860,San Francisco-Oakland-Hayward,2,0,2020-03-01
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-03-01
6,CA,CA,34900,Napa,0,0,2020-03-01
12,FL,FL,35840,North Port-Sarasota-Bradenton,1,0,2020-03-01
12,FL,FL,45300,Tampa-St. Petersburg-Clearwater,1,0,2020-03-01
13,GA,GA,12060,Atlanta-Sandy Springs-Roswell,2,0,2020-03-01
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,1,0,2020-03-01
18,IN,IN,31500,Madison,0,0,2020-03-01
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0,2020-03-01
25,MA,MA-NH,14460,Boston-Cambridge-Newton,1,0,2020-03-01
33,NH,NH-VT,17200,Claremont-Lebanon,1,0,2020-03-01
41,OR,OR-WA,38900,Portland-Vancouver-Hillsboro,1,0,2020-03-01
48,TX,TX,41700,San Antonio-New Braunfels,0,0,2020-03-01
49,UT,UT,41620,Salt Lake City,0,0,2020-03-01
53,WA,WA,42660,Seattle-Tacoma-Bellevue,12,5,2020-03-01
53,WA,WA,47460,Walla Walla,1,0,2020-03-01
53,WA,WA,44060,Spokane-Spokane Valley,0,0,2020-03-01
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,1,0,2020-03-02
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,2,0,2020-03-02
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,2,0,2020-03-02
6,CA,CA,42220,Santa Rosa,1,0,2020-03-02
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-03-02
6,CA,CA,46700,Vallejo-Fairfield,0,0,2020-03-02
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,4,0,2020-03-02
6,CA,CA,41860,San Francisco-Oakland-Hayward,3,0,2020-03-02
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-03-02
6,CA,CA,34900,Napa,0,0,2020-03-02
12,FL,FL,35840,North Port-Sarasota-Bradenton,0,0,2020-03-02
12,FL,FL,45300,Tampa-St. Petersburg-Clearwater,1,0,2020-03-02
13,GA,GA,12060,Atlanta-Sandy Springs-Roswell,2,0,2020-03-02
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,1,0,2020-03-02
18,IN,IN,31500,Madison,0,0,2020-03-02
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0,2020-03-02
25,MA,MA-NH,14460,Boston-Cambridge-Newton,1,0,2020-03-02
33,NH,NH-VT,17200,Claremont-Lebanon,2,0,2020-03-02
37,NC,NC,39580,Raleigh,1,0,2020-03-02
41,OR,OR-WA,38900,Portland-Vancouver-Hillsboro,0,0,2020-03-02
48,TX,TX,41700,San Antonio-New Braunfels,0,0,2020-03-02
49,UT,UT,41620,Salt Lake City,0,0,2020-03-02
53,WA,WA,42660,Seattle-Tacoma-Bellevue,14,7,2020-03-02
53,WA,WA,47460,Walla Walla,1,0,2020-03-02
53,WA,WA,44060,Spokane-Spokane Valley,0,0,2020-03-02
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,1,0,2020-03-03
6,CA,CA,42220,Santa Rosa,1,0,2020-03-03
6,CA,CA,34900,Napa,0,0,2020-03-03
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,8,0,2020-03-03
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-03-03
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,1,1,2020-03-03
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,5,0,2020-03-03
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-03-03
6,CA,CA,46700,Vallejo-Fairfield,0,0,2020-03-03
6,CA,CA,41860,San Francisco-Oakland-Hayward,2,0,2020-03-03
12,FL,FL,45300,Tampa-St. Petersburg-Clearwater,1,0,2020-03-03
12,FL,FL,35840,North Port-Sarasota-Bradenton,0,0,2020-03-03
13,GA,GA,12060,Atlanta-Sandy Springs-Roswell,0,0,2020-03-03
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0,2020-03-03
18,IN,IN,31500,Madison,0,0,2020-03-03
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0,2020-03-03
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0,2020-03-03
33,NH,NH-VT,17200,Claremont-Lebanon,1,0,2020-03-03
34,NJ,NJ-NY-PA,35620,New York-Newark-Jersey City,10,0,2020-03-03
37,NC,NC,39580,Raleigh,1,0,2020-03-03
41,OR,OR-WA,38900,Portland-Vancouver-Hillsboro,0,0,2020-03-03
48,TX,TX,41700,San Antonio-New Braunfels,0,0,2020-03-03
48,TX,TX,26420,Houston-The Woodlands-Sugar Land,1,0,2020-03-03
49,UT,UT,41620,Salt Lake City,0,0,2020-03-03
53,WA,WA,42660,Seattle-Tacoma-Bellevue,23,5,2020-03-03
53,WA,WA,44060,Spokane-Spokane Valley,0,0,2020-03-03
53,WA,WA,47460,Walla Walla,0,0,2020-03-03
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0,2020-03-04
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,9,0,2020-03-04
6,CA,CA,41860,San Francisco-Oakland-Hayward,2,0,2020-03-04
6,CA,CA,46700,Vallejo-Fairfield,0,0,2020-03-04
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-03-04
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,1,2020-03-04
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,10,0,2020-03-04
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-03-04
6,CA,CA,34900,Napa,0,0,2020-03-04
6,CA,CA,42220,Santa Rosa,1,0,2020-03-04
8,CO,CO,19740,Denver-Aurora-Lakewood,2,0,2020-03-04
10,DE,DE-NJ-PA-MD,37980,Philadelphia-Camden-Wilmington,3,0,2020-03-04
11,DC,DC-VA-MD-WV,47900,Washington-Arlington-Alexandria,3,0,2020-03-04
12,FL,FL,45300,Tampa-St. Petersburg-Clearwater,0,0,2020-03-04
12,FL,FL,37860,Pensacola-Ferry Pass-Brent,1,0,2020-03-04
12,FL,FL,35840,North Port-Sarasota-Bradenton,0,0,2020-03-04
13,GA,GA,12060,Atlanta-Sandy Springs-Roswell,0,0,2020-03-04
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,1,0,2020-03-04
18,IN,IN,31500,Madison,0,0,2020-03-04
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0,2020-03-04
25,MA,MA-NH,14460,Boston-Cambridge-Newton,1,0,2020-03-04
32,NV,NV,29820,Las Vegas-Henderson-Paradise,1,0,2020-03-04
32,NV,NV,39900,Reno,1,0,2020-03-04
33,NH,NH-VT,17200,Claremont-Lebanon,0,0,2020-03-04
34,NJ,NJ-NY-PA,35620,New York-Newark-Jersey City,20,0,2020-03-04
37,NC,NC,39580,Raleigh,0,0,2020-03-04
41,OR,OR-WA,38900,Portland-Vancouver-Hillsboro,0,0,2020-03-04
47,TN,TN,34980,Nashville-Davidson--Murfreesboro--Franklin,1,0,2020-03-04
48,TX,TX,26420,Houston-The Woodlands-Sugar Land,5,0,2020-03-04
48,TX,TX,41700,San Antonio-New Braunfels,0,0,2020-03-04
49,UT,UT,41620,Salt Lake City,0,0,2020-03-04
53,WA,WA,44060,Spokane-Spokane Valley,0,0,2020-03-04
53,WA,WA,47460,Walla Walla,0,0,2020-03-04
53,WA,WA,42660,Seattle-Tacoma-Bellevue,42,1,2020-03-04
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,1,0,2020-03-05
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,10,0,2020-03-05
6,CA,CA,41740,San Diego-Carlsbad,0,0,2020-03-05
6,CA,CA,41860,San Francisco-Oakland-Hayward,6,0,2020-03-05
6,CA,CA,42220,Santa Rosa,0,0,2020-03-05
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,4,0,2020-03-05
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0,2020-03-05
6,CA,CA,46700,Vallejo-Fairfield,0,0,2020-03-05
6,CA,CA,34900,Napa,0,0,2020-03-05
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,6,0,2020-03-05
8,CO,CO,19740,Denver-Aurora-Lakewood,6,0,2020-03-05
8,CO,CO,20780,Edwards,1,0,2020-03-05
8,CO,CO,17820,Colorado Springs,1,0,2020-03-05
10,DE,DE-NJ-PA-MD,37980,Philadelphia-Camden-Wilmington,5,0,2020-03-05
11,DC,DC-VA-MD-WV,47900,Washington-Arlington-Alexandria,3,0,2020-03-05
12,FL,FL,33100,Miami-Fort Lauderdale-West Palm Beach,2,0,2020-03-05
12,FL,FL,45300,Tampa-St. Petersburg-Clearwater,0,0,2020-03-05
12,FL,FL,37860,Pensacola-Ferry Pass-Brent,1,1,2020-03-05
12,FL,FL,35840,North Port-Sarasota-Bradenton,0,0,2020-03-05
12,FL,FL,15980,Cape Coral-Fort Myers,1,1,2020-03-05
13,GA,GA,12060,Atlanta-Sandy Springs-Roswell,0,0,2020-03-05
13,GA,GA,16340,Cedartown,1,0,2020-03-05
15,HI,HI,46520,Urban Honolulu,1,0,2020-03-05
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,2,0,2020-03-05
18,IN,IN,26900,Indianapolis-Carmel-Anderson,1,0,2020-03-05
18,IN,IN,31500,Madison,0,0,2020-03-05
19,IA,IA-NE,36540,Omaha-Council Bluffs,1,0,2020-03-05
21,KY,KY,30460,Lexington-Fayette,1,0,2020-03-05
25,MA,MA-NH,14460,Boston-Cambridge-Newton,6,0,2020-03-05
27,MN,MN-WI,33460,Minneapolis-St. Paul-Bloomington,1,0,2020-03-05
29,MO,MO,17860,Columbia,1,0,2020-03-05
32,NV,NV,29820,Las Vegas-Henderson-Paradise,1,0,2020-03-05
32,NV,NV,39900,Reno,1,0,2020-03-05
33,NH,NH-VT,17200,Claremont-Lebanon,0,0,2020-03-05
